City,Restaurant
London,Golden Hind Restaurant
London,Docklands Diner
London,Ugly Dumpling
London,Curry Leaves
London,Pho & Bun
London,Pie Crust
London,Union Viet
London,Franco Manca
London,The Eight Bells
London,Pret A Manger
London,The Crown and Cushion
London,HealthyWealthy
London,Cafe Tiffin
London,Franco Manca Brixton
London,The Ring
London,The Carpenter's Arms
London,Sappho Meze Bar
London,Franco Manca Tottenham Court Road
London,Misato
London,Santa Maria
London,Bar Bruno
London,The King Of Falafel
London,Sud Italia - Pizza Napoletana
London,Number One Shisha Cafe
London,Harana
London,Al Forno - Shepherd's Bush Green
London,Town Of Ramsgate
London,Franco Manca
London,Panzo Pizza
London,FINCHLEY KITCHEN
London,Mr Falafel
London,Pret A Manger
London,Fast Break Kozzy
London,The Camel Public House
London,Panda Dim Sum Cafe
London,Kokeb Ethiopian Restaurant
London,Mangio
London,KENNEDYS Barbican
London,Cockneys Pie & Mash
London,Roti King
London,Taco Queen
London,Julia Domna Cafe
London,Franco Manca Balham
London,Tongue & Brisket
London,Pizzeria Di Camden
London,Marie's Cafe
London,The Rising Sun eltham
London,Black Cat cafe
London,Kailash Momo Restaurant
London,Micky's Fish & Chips
London,Gianni's Sandwich Bar
London,Le Gourmet
London,Masala Indian Restaurant
London,Pret a Manger
London,Indian Veg Bhelpuri
London,LENA'S
London,Raffles Cafe Restaurant
London,Waffle Jack's American Diner
London,Miod Malina
London,Pret a Manger
London,Rivercafe
London,Mangal
London,The Old Bell
London,Ecco Pizza
London,Viet Baguette(Pho & Grill)
London,Kaosarn
London,Fish Bone
London,Editor's Tap
London,Aromas Tandoori Restaurant
London,Cafe in the Crypt
London,Asador Argentine Steaks and Burger
London,El Rancho De Lalo
London,The Lyric Pub
London,Bisou
London,Blue River Cafe
London,Jack's at the Junction
London,Franco Manca South Kensington
London,Pizza Pilgrims
London,Masters
London,Mike's Cafe
London,Scugnizzi
London,Poppies Fish & Chips
London,Cafe Paolo
London,Pilpel
London,Cafe de Fred
London,Salim's Restaurant & Take Away
London,La Pernella
London,Cafe Verona
London,Red Lion
London,Mesi's Kitchen
London,Spicy Basil
London,Paul Rothe & Son
London,Le Merlin
London,itsu
London,Piccolo Snack Bar
London,Coach & Horses
London,Richard Haward's Oysters
London,Bibimbap
London,Maya DD's
London,Franco Manca Soho
London,Cafe Mignon
London,Cafe 12
London,The Hope
London,"Fish, Wings and Tings"
London,La Porchetta Pollo Bar
London,The Best Turkish Kebab
London,Kafeteryam Sandwich Bar
London,Maoz
London,Kanada-Ya - Panton Street
London,Deeney's
London,Hawraman Cafe Bar
London,Cafe Plaka
London,Euston Tap
London,Bar + Block Steakhouse London Hammersmith
London,Franco Manca Southfields
London,Normah's
London,Pizzeria On The Green
London,Pepe Italian Street Food
London,Beboz Italian Street food
London,Bosphorus
London,Pret a Manger
London,"Tommi's Burger Joint, Berwick St, Soho"
London,Little Portland Cafe
London,Max's Sandwich Shop
London,Viet Food
London,Crown Cafe
London,Bibimbap Charlotte St
London,Pizza Pilgrims
London,Fernando's
London,Indian YMCA Dining Hall
London,Happy Days
London,Harar Restaurant
London,Kerbisher & Malt
London,The Nell Gwynne Tavern
London,Pearl Lemon Boba
London,Paolina's Thai Cafe
London,Its All Greek to Me
London,Franco Manca Russell Square
London,Pret a Manger
London,Pret a Manger
London,Leman's Cafe
London,Cafe Pronto
London,The Windmill Pub
London,Five Bells
London,The Constitution
London,Bonnane cafe
London,Silk Road
London,The Southampton Arms
London,Alpino
London,Restaurant Soul Flame
London,Red Sun Chinese
London,Wesley's Cafe
London,piccolo bar
London,Zoe's Ghana Kitchen
London,E-Mono
London,Poppy's
London,Woody Grill
London,Bonnington Cafe
London,Lady Buddha
London,HOB
London,Franco Manca Belsize Park
London,Pizza Amore
London,Cardinals
London,Pret A Manger
London,Malaysian Deli
London,Jai Krishna Indian Vegetarian
London,Lahore Kebab House
London,New City Chinese Restaurant
London,Philomena's Bar & Cafe
London,Monty's Deli
London,Hot Wok Kitchen
London,Crepes a la Carte
London,The Three Lions
London,Pret a Manger
London,Dhaba Indian Street Food
London,Machiya
London,The Old King's Head
London,Oliver's Village Cafe
London,Dar's
London,Cafe Green
London,Slow Richie's
London,Mess Cafe
London,The Oiler Bar
London,Simya Korean Restaurant
London,Figli Del Vesuvio
London,My Pixxa
London,Seoul Bakery
London,Edgar Wallace
London,Hullabaloo
London,VeganE
London,Thenga Cafe
London,Eve's Cafe
London,Khuttar
London,Hare & Tortoise
London,Makan Restaurant
London,Patogh Restaurant
London,Franco Manca Muswell Hill
London,Stage Palmers Green
London,Hubbub Bar & Kitchen
London,Banh Mi Bay
London,Stick & Bowl
London,BOnA Sourdough Pizza
London,The Gentlemen Baristas Borough
London,Trents London
London,Chipotle Mexican Grill
London,The Old City Arms
London,OTE(Original Turkish Eatery)
London,Benito's
London,Matheou's
London,Nuki's Thai Kitchen
London,Bento Bab
London,Kaffeine
London,La Spiga Pasta
London,"The Greene Man, Hungry Horse"
London,Astro Cafe & Brunch
London,Mona Lisa Cafe & Restaurant
London,German Doner Kebab
London,La Tua Pasta
London,"Fresco, Fresh Juices and Lebanese Cuisine"
London,Dosa n Chutney
London,Captain Corelli
London,Club Mexicana
London,Donnelly's Restaurant
London,Coffee Uni-N
London,Abyssinia Ethiopian Restaurant
London,Franco Manca Bermondsey
London,The South West Eleven
London,Mama's Cafe
London,Dosa World
London,EAT.
London,Pizza at Home
London,Little Vietnam
London,Marks and Spencer Simply Food
London,Pie Minister
London,Pittabun
London,Mandalay
London,The Cross Keys
London,Three Kings
London,Franco Manca Broadgate Circle
London,Antonella's Cafe and Bsitro
London,Pieminister
London,Simply Breakfast
London,Okan South Bank
London,Afghan Kitchen
London,Pilpel
London,Giorgio's Pizzeria
London,Halfway to Heaven
London,Food Room
London,The Joint
London,San Marino
London,Caffe 43
London,Bunbunbun Vietnamese Food
London,Mirch Masala - Tooting
London,La Valle
London,Royal Teas
London,Apollo Banana Leaf
London,The Bite
London,Andrew's Restaurant
London,Three Tuns
London,Al Arez 2
London,E. Mono
London,Mama Pho
London,Al Dente
London,The Pineapple Restaurant
London,Le Rif Restaurant
London,Al's Cafe
London,C & R Cafe Restaurant
London,BaoziInn - Newport Ct
London,Chunnel Bar
London,Lo Spuntino-Cafe Espana Restaurant
London,Franco Manca Northcote Road
London,The Boot Pub
London,Ecco'la Cafe and Pizzeria
London,Delaterra
London,Bathurst cafe and Wine bar
London,Mr. Fish
London,The Cheshire Cheese
London,OA Comtam
London,Pino’s Warung
London,Pret a Manger
London,Panzerotto Blues
London,Shrigleys Moroccan Cafe
London,Pizza Pilgrims Waterloo
London,Tongue & Brisket
London,500 Degrees Herne Hill
London,Shoop Soup
London,Veggie Pret
London,Nautilus Fish
London,Pilpel
London,The White Lion
London,Cafe East
London,Shoreditch fish and chips
London,Everest Curry King
London,Malaysia Hall Canteen
London,Maggie's Cafe & Restaurant
London,Dapur
London,Trevi
London,Sandro Sandwich Bar
London,What The Fish
London,Caffe Tea Tree
London,Base
London,Cafe Parco
London,Pret A Manger
London,Portena
London,Pickles
London,Nandines
London,The Golden Chip
London,Moka East Cafe at the View Tube
London,Workers Cafe
London,Turpan Uyghur Restaurant
London,Giggling Sausage Cafe
London,Pizza Fresco
London,Calthorpe Arms
London,Noa Restaurant
London,M.Manze Peckham
London,Tong Kanom
London,Pinner Cafe
London,Viet Soho
London,The Thai Garden Cafe
London,Sabor Peruano
London,Caffe Nero
London,Franco Manca Ealing
London,People's Choice Cafe
London,Singburi
London,Pizza X Drink
London,Mamalan Clapham Common
London,Brunchies Cafe
London,Old Spitalfields Market
London,The Green Cafe
London,Dada's Diner
London,The Ritz
London,The DrumLeyton
London,Shalamar Kebab House
London,The Hope
London,Long & Short Coffee
London,Curtis Caribbean Grill and Specialty Cakes
London,Simon The Tanner
London,Doner Cave Tooting Bec
London,Voodoo Ray's
London,The India Club Restaurant
London,Maloko
London,Cafe Diana
London,Elite Fish Bar
London,Alex's Place | Kebab And Steak House
London,Bbq Grill
London,Cafe Fleur
London,H. T. Harris
London,Chipotle
London,Oasi Burger
London,Franco Manca Broadway Market
London,Bluejay Cafe
London,Golden Cafe
London,Chunk Of Green Cafe
London,Wasabi
London,Arancina
London,Brass Monkey
London,Capital Kebab House
London,Rao Deli
London,Qasioun Restaurant
London,Sushi Show
London,The Hope
London,Miki's Paradise
London,Mani's
London,Ranya Restaurant
London,Tachbrook Bakery & Patisserie
London,Okan Brixton Village
London,Mango
London,OKN1
London,Scotchtails
London,The Full English
London,Liqui Liqui
London,El Rincon Quiteno
London,G Kelly
London,Good Friend
London,21 West
London,Giovanni's
London,Tortilla Charing Cross
London,Round Falafel
London,Bisha Eritrean restaurant 2013
London,Wrap City Kebab
London,Rola Wala
London,Tortilla
London,Deja Brew Cafe
London,Jack the Chipper
London,Aqua Deli
London,Da Maria
London,Ravishankar Bhel Poori
London,Astral Cafe
London,The Patate
London,Beza
London,Sizzles
London,Andu Cafe
London,Marks and Spencer Simply food
London,Crumpets
London,Station CAFE
London,Hot Pepper Cafe
London,Roti Joupa
London,Garden Community Cafe
London,Wasabi Sushi and Bento
London,The Royal Oak
London,The Hothouse
London,Vesuvio Cafe
London,La Bruschetta
London,Cafe Ole
London,Babajani
London,Warisan Cafe
London,Benito's
London,Bradley's Spanish Bar
London,The Bell
London,Queens Head Cafe
London,Aspendos Bar And Grill
London,Holy Pitta Yeeros House
London,PAUL South Kensington
London,Boom Bap Burger
London,Cheeky Burger
London,Fatboy's Diner
London,FAST BREAK - KOZZY - HOLBORN
London,Beats Burger
London,Little Bird Gin
London,Little Napoli
London,La Brioche
London,Traditional Pure
London,Jerkys
London,City View Restaurant
London,Bluebrick Cafe
London,Express Fish Bar
London,Etles Uyghur Restaurant
London,Pret a Manger
London,Pho (St Paul's)
London,Waterloo Cafe
London,Eltham Grill House
London,B J's Pie And Mash Shop
London,Cafe del Marsh
London,Mien Tay
London,Abbey Cafe Abbey Wood
London,Gourmet Goat
London,Pret a Manger
London,Wasabi
London,Eat alia
London,Lee Fish Bar
London,NATAS Coffee Bar
London,Carbon Soho
London,Salt The Radish
London,The Blue Posts
London,Bel & Nev
London,Pret A Manger
London,Reggie's Caribbean Cuisine
London,Wasabi
London,Anokha
London,Wasabi Victoria Station
London,Wings Cafe
London,Kouzina Express
London,Hobbs Meats Roast
London,Signor Ciccio
London,Cherry On The Top
London,SushiHeads
London,Duke of Cornwall
London,Persepolis Restaurant
London,Chao!Now
London,Banh Mi Town
London,Red Art Cafe Bar
London,Raavi Kebab
London,Paris-Brest Patisserie
London,The Lost Hour
London,Meral's Cafe Bistro
London,Pret a Manger
London,Pret a Manger
London,Santa Maria Pizzeria
London,En Root
London,Highams Lounge
London,Italo Delicatessen
London,Manifesto
London,Cafe Nuvo
London,Bonne Bouche Marylebone
London,Jaffa Bake House
London,The Big Bites Cafe
London,The Cockpit
London,Cafe Zilly
London,My Old Place
London,Hoang Lan
London,Spaghetti House
London,Old Chang Kee
London,Fish Inn at the Old Bank
London,Pho Ta
London,Yeha Noha
London,Needoo Grill
London,Trafalgar Cafe
London,Viet Garden
London,King and Queen
London,Mario's Cafe
London,Dumpling Shack
London,Tifinbox
London,Pret A Manger
London,Chi Chi's Coffee & Waffle House
London,Sunflower Kitchen
London,Sawmill
London,Mamma Dough
London,Chicken Kitchen
London,The Whittington Stone
London,Monaliciousfood
London,Frank's Coffee House
London,Birdie Num Nums
London,Haminados
London,Harrington's
London,Flat Iron Square
London,The Dumpling House
London,Cafe Anglais
London,Harran
London,Bang Bang
London,Cafe Caesar
London,The Duck Truck
London,Happy Garden
London,Pret A Manger
London,Central Street Cafe
London,Hohaki
London,Yada’s Green Kitchen
London,New Bangkok
London,Sababa of Soho
London,Taza Kebab House
London,Holborn Whippet
London,Daebak
London,David's Deli
London,Pret a Manger
London,Cardinals of Mayfair
London,Xi'an Impression
London,Queen Arms Pub
London,Arches Cafe
London,Ting n Ting
London,Koi Ramen Bar
London,Manny Dartin Cafe
London,The Chandos
London,Ssam Korean Dining
London,Guido's - Noel Street
London,Tandoori Villa
London,Sussex Fish Bar
London,Terrace Turkish Kitchen
London,Kimchimama
London,Almost Saturday
London,Cafe in the Crypt
London,Pieminister
London,Tortilla Wimbledon
London,Shishlique
London,Macaroni Liberation Front
London,Vicki's
London,Steve's Cafe
London,Marks & Spencer
London,CrazyForPasta
London,Olives and Meze Soho
London,Capital Restaurant
London,The Antwerp Arms
London,The Good Rice Italian Bakery Ltd
London,Pizzeria Pomodoretto
London,Happy Sushi
London,Di Lieto Sandwich Bar
London,La Mia Cucina
London,Lord John Russell Pub
London,Cheezelo
London,German Doner Kebab
London,Poppins Restaurant
London,Keu Soho
London,Healthy Eaters Brixton
London,Waterside cafe
London,Paul's Plaice
London,Opa! Greek Bakery & Patisserie
London,Naama
London,Chillies Tandoori
London,The Electric Cafe
London,Shandeez
London,Chinese Canteen
London,Franco Manca Westfield Stratford
London,Star Kebab House
London,Franco Manca Aldwych
London,Byzantium Restaurant
London,John Snow Public House
London,Divina Caffe
London,The Beaten Docket
London,Wasabi - Oxford Street
London,The Wheatsheaf
London,Toby Carvery
London,Warren's Sandwich Bar
London,Bloomsbury Cafe
London,Ali Baba Restaurant
London,Golden Carp Fish and Chips
London,Cafe Brunch
London,Get Juiced
London,The Brown Bear
London,The Guildable Manor
London,Acton Cafe
London,Arancini Brothers Factory
London,Franco Manca Wimbledon
London,Conduit Coffee House
London,Pho Hanoi
London,LO Paste Tradizionali
London,The Red Lion & Pineapple
London,Franco Manca Westbourne Grove
London,The Bay Leaf Cafe
London,Wimpy
London,Gowlett
London,Tortilla Stratford
London,Amigos
London,Targa Green Cafe
London,Pimlico Traditional Fish And Chips
London,Black Sheep Coffee - Great Portland St
London,Tai Won Mein
London,Salumeria Dino
London,500 Degrees Brixton
London,Pret A Manger
London,Early's Cafe
London,Song Que
London,Tierra Verde
London,Mary Ward Centre Cafe
London,Pret a Manger
London,City Pride
London,Giuliano Putney
London,The Gunnersbury
London,The Conquering Hero Pub
London,Chutney
London,Aloosh
London,Pizza Brixton @ St.John's Hill
London,Millers Bar
London,Franco Manca
London,Hoxton Fish House
London,Pret A Manger
London,Pret a Manger
London,BunCo
London,Camden Pizza
London,Anerley Arms
London,Tortilla Hammersmith
London,Lanzhou Noodle Bar
London,Communitea Cafe
London,Diwana Bhel Poori House
London,Masigo
London,Coco's cafe
London,Pie Republic
London,Roka Cafe Restaurant
London,Something Fishy
London,Caffe Casbah
London,Gino's Cappuccino Bar
London,The Urban Greek
London,Popular Cafe
London,The Garden House
London,Pixxa E1
London,Carnival Pot
London,Truly Scrumptious Cafe Camden
London,Smithfield Cafe
London,Colliers Wood Tandoori
London,Dr Hunger Cafe
London,Chipotle Mexican Grill
London,Viet Rest
London,Cafe Panache
London,Mamma Mia Pizzeria
London,Espress-Mo
London,Skewers
London,Duke of Somerset
London,Frankie's Cafe & Sandwich Bar
London,White Horse & Bower
London,The Great THAI Restaurant
London,The Hoarder Coffee
London,Franco Manca Kilburn
London,Cafe 1001
London,Cafe Deco
London,Pinar Kebab
London,L'Angelo Cafe
London,Dibs
London,Gate Grill Cafe
London,Long White Cloud Cafe
London,Three Uncles
London,The Albert Tavern
London,German Doner Kebab - London - O2 Arena
London,Lebanese Grill
London,Coolangatta Cafe UK
London,Culture Grub
London,Pinch Cafe
London,The Prince William Henry
London,The Brockley Barge
London,J.J. Moon's Kingsbury
London,Great Greek Grill House
London,Mamalan
London,Sutton and sons Fish & Chips
London,Chinwag
London,Carioca Brixton
London,Poppy Cafe
London,Siam Brasserie
London,Z&Z Bakery
London,The Beehive
London,Pitta Lab
London,Pret a Manger
London,Bento-ya
London,Green Papaya
London,Pier Masala
London,Spice Shack
London,Coqfighter Shoredtich
London,Lucas Fish Bar
London,8 Caffe
London,Cafe Rossi
London,Spices
London,Hughes's Pie and Mash
London,Pilpel
London,Valencia Cafe
London,Mems Cafe
London,Squares Pizzeria
London,Van hing
London,Wenlock Arms
London,The Friends Cafe
London,Joe's Cafe Bistro
London,Hoa Phuong
London,Street Eats
London,Spreads Cafe Pall Mall
London,Food Filosophy
London,Cafe Bianca
London,Olives & Oregano
London,Half Moon Restaurant
London,Kubo
London,Itsu - Canary Wharf
London,Zaha Street Grill
London,Bridge Cafe
London,Hadrians Italian Cuisine
London,Panda's Kitchen
London,Crazy Salad
London,3 Mien
London,Restaurant 40's
London,Tortilla Camden
London,Cibo Bar & Caffetteria
London,Evin Cafe Restaurant
London,Billy's Cafe
London,Viet Baguette
London,County Arms
London,Crust Bros Pizza Wandsworth
London,The Shaston Arms
London,Fat Boys Cafe
London,The Britannia
London,Popina
London,Lahore Karahi
London,Kastner & Ovens
London,The Roost LDN
London,Jaffna House
London,Jungles Cafe
London,Glasshouse Coffee
London,Fryer's Delight
London,Wasabi
London,Cafe Mandalay
London,The Sultan
London,Fishermans Inn
London,Hasan Meze & Mangal
London,Kenta
London,Churros Camden
London,Clicia
London,Lazio
London,Ashfield Cafe
London,Camden Bakery
London,GoGo Pocha
London,Ho-Ja
London,Uncle Wrinkle
London,Madeira Star
London,Rose's Cafe
London,Sajee
London,The Angel Inn
London,Dominique's
London,IG9 Brunch & Cafe
London,The Hole in the Wall
London,Hanoi Cafe
London,Aquila Cafe
London,Sen Viet Vegan Restaurant
London,Lemon Seed
London,Wok And Fire
London,Endo at the Rotunda
London,PlantXology
London,The Battenberg Badger
London,Olive
London,Fresh and Organic
London,Cesni Authentic Turkish Restaurant
London,Kakki Katsu
London,Esters
London,The Hendon
London,Sutton And Sons Fish and Chips
London,Marks & Spencer Simply Food - St Pancras
London,Beyti Restaurant
London,Gopal's Corner
London,The Ship
London,Stones Fish and Chips
London,La Diva Caffee
London,Nyokee
London,Kebab 49
London,Books for Cooks
London,Tams Kitchen
London,Pret a Manger
London,Crosstown Victoria - Doughnut & Coffee Bar
London,Chop Chop Noodle bar
London,Aneto Cafe
London,Camden Pizza Co
London,Nanis Of Wigmore
London,Pret a Manger
London,SoulFood
London,Little Lisbon
London,Rabbit Hole Cafe
London,Tortilla Russell Square
London,Kapadokya Restaurant
London,Planet Organic
London,Koi Ramen Bar
London,Bertotti Shepherd's Bush
London,AMPM Hoxton
London,Anspach & Hobday - The Arch House
London,Kimchee
London,The Wagon @ cave
London,Brood Restaurant
London,Viet Cafe
London,Makimayo
London,Guido's
London,The Anchor
London,the effra
London,JUMAK39
London,Cafe De Nata
London,Arepazo Bros
London,The Turk's Head
London,Restaurant Santafereno
London,Wynwood Art District
London,The Chef House Kitchen
London,numnum
London,The Grove Fish Bar
London,Light Bite
London,Cafe Piccolo
London,La Bella Vita
London,Punjab House
London,XIX Nineteen
London,Nabatee
London,The Book Club
London,Bibimbab Cafe
London,Blue Mountain Cafe
London,Cafe Society Millbank
London,Arthur's Cafe
London,Nawroz
London,Nemo's Fish and Chips
London,Standard Fish Bar
London,The Florist Arms
London,Pizaza
London,Wasabi
London,Tre Rote
London,Chaconia
London,Ginger & Mint
London,The Walrus
London,The Horns Tavern
London,Smokoloko
London,Sandwich Express
London,Amalfi caffeUK
London,Made of Dough
London,Shanel's Sandwich Bar
London,Marathon Restaurant and Bar
London,Maize Blaze
London,Homies on Donkeys
London,Tanya Fish Bar
London,Beans Love Greens
London,The Blackstock Kitchen
London,Umami Pan Asian Cuisine
London,Gram Bangla
London,The Gentlemen Baristas London Bridge
London,Koyum Restaurant
London,KO Deli
London,Byron - Wembley
London,Papillon deli & patisserie
London,Billingsgate Cafe
London,Tam Vietnamese Restaurant
London,Wing Sing
London,Pret a Manger
London,Golden Grill Kebab House
London,Nillys Cafe
London,Franco Manca East Dulwich
London,Marble Arch News
London,The mokapot house
London,O Girasol
London,Skip Garden and Kitchen
London,Dionysus
London,Come & Go Souvlaki
London,Cafe Florentine
London,Pizza Hut
London,The Aylmer Pantry
London,The Hungry Diner
London,ViB Bar
London,Selmos
London,IF Panzerotto & Co.
London,Rude N Boomin
London,King Charles I
London,Tian Tian
London,Cafe Jasmine
London,Kaosarn
London,Falafel
London,Pepper and Spice
London,The Three Lords
London,Knoops
London,The Faltering Fullback
London,Spier's Salads
London,Bolu Kebab Restaurant
London,Merton Fish Bar
London,"The Hare and Hounds, Leyton, London"
London,Gozleme House
London,Su Restaturant
London,German Doner Kebab - London - West Ham
London,Pedro's Cafe
London,Isla Ray
London,The Globe
London,Rose's Cafe
London,Forno Viaggiante Pizzeria
London,Gino's Cafe
London,Franco’s Take Away
London,Marugame Udon
London,Pacific Social Club
London,Josef Fish & Chips - Tower of London
London,Beer & Buns
London,Aces And Eights
London,Cali Cafe
London,The Pig and Whistle
London,Herman Ze German
London,Chickpea
London,Pappiland Cafe
London,Pret A Manger
London,Ranoush Juice Marble Arch
London,GreenZen Poke and Matcha Bar
London,King of Falafel
London,Horn Ok Please
London,Cafe On The Lane
London,Belushi's - Greenwich
London,Lite Bite
London,More Munchies
London,M&D Japanese Restaurant
London,Sazzy & Fran
London,Franco Manca Stoke Newington
London,Franco Manca
London,Hozi Korean Restaurant
London,Pret a Manger
London,Borneo Cafe and Bakery
London,Foodinthemiddle - Rotihouse
London,Fish Lounge
London,Belgian Brasserie
London,Loasi Pizzeria
London,Deli Felice @ Albion
London,Gusto Pizza
London,Mugen
London,Sunrise Cafe
London,Mad Dough
London,Barley Mow Pub
London,Ochi
London,Family Cafe
London,The Espresso Room
London,The Sir John Hawkshaw
London,The Cobden
London,Artcafe
London,Five Four Ate
London,The White Swan
London,The New Crown
London,Jaz&JetzKitchen E4
London,Jalaram Sweet Mart
London,Cafe Delight
London,Dukan 41
London,Lebanese Gardens
London,Casa Pepe
London,Abbey Arms
London,The Delhi Bites
London,Spicy Noodle Cafe
London,Truly Splendid vintage tearoom
London,Circus Bros
London,The Baguette Deli
London,Umut Ocakbasi
London,Froth & Rind
London,The Sauce
London,LEON - Pancras Square
London,Long Lane Fish Bar
London,Royal Cafe
London,Earl Derby
London,Kimura
London,Chatkhara Restaurant
London,The Cock Tavern
London,Somine Restaurant
London,Bagel on the Park
London,Cafe Nora
London,Caffe Cinos
London,Omoide
London,Menoo Eclectic Food
London,DoDough Pizza
London,Gourmet China Cook
London,Coffee Wake Cup
London,Itsu
London,Cafe Delight
London,Big V
London,Park Theatre
London,Potato Castle
London,San Marino Cafe-Bar
London,Caffe Astori
London,Gelgela
London,Kings Kebab House
London,S & R Kelly & Sons
London,George and Vulture
London,Good Morning Vietnam
London,Wacka Espresso
London,Tortilla Dalston
London,Crosstown Greenwich - Doughnuts & Coffee
London,Cafe Maya
London,Woods Fish Bar
London,Moulin Rouge
London,Hot Pepper Jelly Cafe
London,Zigghy Cafe
London,Doneagles Fish & Chips
London,The Kennington Coffee Shop
London,"Zabardast The Indian Wrap Company, Waterloo"
London,Lolita Burgers and Kebabs
London,mosaic clapton
London,Pitta Maria
London,Italia Uno
London,Marlow Fish Bar
London,H's Cafe
London,Panizza
London,Pedro's Cafe
London,The M Bar
London,Birley Salt Beef
London,Star Of Spice
London,"Zabardast The Indian Wrap Company, Clerkenwell"
London,Napoli on the Road
London,Jerusalem Falafel
London,Poppins Cafe
London,Pintadera Cafe
London,Burger Craft at The White Ferry
London,Little Palace Cafe
London,Pret A Manger
London,Pret A Manger
London,Crepeaffaire Islington
London,The Watermill Restaurant
London,middleat
London,Ealing Mangal
London,Itsu
London,La Piccola Deli Kensington
London,Kiyoto Sushi
London,Panella
London,Dilara
London,Mrs Wong's
London,Assenheims 56
London,The Constitution
London,Sesamo
London,The Archie Parker
London,Tibet Kitchen London
London,Circle & Slice
London,Maison Puget French Bakeries
London,F Cooke
London,500 Degrees
London,Pret a Manger
London,Balady
London,The Battersea Grill
London,Northcote Arms
London,The Frenchie
London,Michael's Fish and Chip Bar
London,Cafe Thyme
London,Indian Shack
London,Pret A Manger
London,Beiteddine Express
London,Meds
London,Uyghur Restaurant
London,Over the Road Cafe
London,The Fellowship Inn
London,Spicy Food Plus
London,Chef Delight
London,Roti Kitchen
London,Cafe Bianca
London,Putera Puteri Cafe
London,Belushi's - Camden
London,KukooLaLa Cafe
London,The Sandwich Shop
London,Cally Munchy
London,Tortilla Clapham
London,Regis Snack Bar
London,Lambs Cafe
London,Fladda
London,Itsu
London,O Porto Cafe
London,Farm Girl
London,Pret A Manger
London,Jamuna Tandoori
London,N4 Eatery
London,Sea Fare Fish Bar
London,Two Spoons
London,Capsicum Deli
London,Pho Cafe
London,Azzurri Pizzeria
London,Pret a Manger
London,Escape Bar and Caribbean Tapas
London,Levant Kitchen
London,Anatolia
London,Cafe Deco
London,Photographers Gallery Cafe
London,Mortimer's
London,Lincoln Lounge
London,Siam Niyom Thai Cuisine in West Norwood
London,Gunners Fish Bar
London,Sheen Fish Bar
London,Square Pie Company
London,Flowers Of The Forest
London,Palm Pizzeria
London,O'Neill's
London,Marrakech Delight
London,Shaheen Tandoori Restaurant
London,Mister Pumpernink
London,Chip Inn Fish Bar
London,The Beach Hut
London,Pret a Manger
London,Yeshi Ethiopian Cuisine
London,Wasabi Sushi & Bento
London,Don2 Japanese Cafe
London,Thai Corner Cafe
London,Nawroz Lounge
London,Sacro Cuore Pizzeria
London,Big breakfast Foresthill
London,Cafe 786
London,EGGLAND
London,Casa Maria
London,Hungry Bikes
London,Caffe Deniro
London,The Platform Cafe
London,West Kebab
London,Your Mum's Kitchen
